draw,district,total_pop,total_vap,plan_dev,comp_edge,comp_polsby,pop_hisp,pop_white,pop_black,pop_aian,pop_asian,pop_nhpi,pop_other,pop_two,vap_hisp,vap_white,vap_black,vap_aian,vap_asian,vap_nhpi,vap_other,vap_two,pre_16_rep_tru,pre_16_dem_cli,gov_16_rep_gia,gov_16_dem_bul,atg_16_rep_fox,atg_16_dem_jen,sos_16_rep_sta,sos_16_dem_lin,uss_18_rep_ros,uss_18_dem_tes,pre_20_rep_tru,pre_20_dem_bid,uss_20_rep_dai,uss_20_dem_bul,gov_20_rep_gia,gov_20_dem_coo,atg_20_rep_knu,atg_20_dem_gra,sos_20_rep_jac,sos_20_dem_ben,arv_16,adv_16,arv_18,adv_18,arv_20,adv_20,county_splits,muni_splits,ndv,nrv,ndshare,e_dvs,pr_dem,e_dem,pbias,egap
4206,1,543993,426475,0.0034688372,0.9511,0.2079,19106,446765,1780,42744,3578,351,2211,27458,12905,361051,1277,28391,2911,268,1698,17974,149870, 85899,127495,123481,172737,78552,146611, 99670,127262,123828,182621,118110,176995,131485,174724,120866,185311,118585,186146,115913,149179, 96901,127262,123828,181159,120992,1,0,111638,162977,0.4065,0.4069,0.0,0.2,0,0.2608
4206,2,540232,423648,0.0034688372,0.9511,0.2843,26093,454553,3297,21848,4499,488,2163,27291,17003,366502,2504,14326,3755,374,1628,17556,129367, 91806,108617,132449,160027,80415,130859,105189,108699,130045,160978,126673,156175,140974,153820,129991,163008,128436,166790,123701,132217,102466,108699,130045,160154,129956,1,0,118968,143833,0.4527,0.4529,0.2,0.2,0,0.2608
4207,1,539498,423203,0.0048227997,0.9625,0.3445,20367,443998,2703,36188,4220,437,2238,29347,13878,358359,2023,24438,3460,355,1689,19001,135314, 92549,112646,132222,163442,81344,134612,105374,114037,131083,165222,126630,159921,140144,158154,129344,167426,127802,170024,123807,136504,102872,114037,131083,164149,129545,2,0,119030,148080,0.4456,0.4457,0.2,0.4,0,0.1586
4207,2,544727,426920,0.0048227997,0.9625,0.2186,24832,457320,2374,28404,3857,402,2136,25402,16030,369194,1758,18279,3206,287,1637,16529,143923, 85157,123466,123708,169322,77623,142858, 99485,121925,122789,178377,118153,173248,132315,170390,121513,180893,119219,182911,115808,144892, 96495,121925,122789,177164,121402,2,0,111577,158731,0.4128,0.4132,0.2,0.4,0,0.1586
4208,1,542799,428190,0.0012663423,0.9744,0.3339,20948,454777,2696,27563,4331,455,2470,29559,14258,367730,2029,19072,3559,364,1892,19286,138122, 94343,115343,134076,166903,82759,137881,106520,118193,132608,171144,129834,165959,143382,163970,132546,173637,130798,176489,126581,139563,104424,118193,132608,170240,132629,0,0,121345,152764,0.4427,0.4429,0.2,0.4,0,0.1586
4208,2,541426,421933,0.0012663423,0.9744,0.3742,24251,446541,2381,37029,3746,384,1904,25190,15650,359823,1752,23645,3107,278,1434,16244,141115, 83362,120769,121854,165861,76208,139589, 98338,117768,121264,172455,114949,167210,129077,164574,118311,174681,116224,176447,113034,141833, 94943,117768,121264,171073,118319,0,0,109261,154046,0.4150,0.4153,0.2,0.4,0,0.1586
4209,1,544154,430624,0.0037658235,0.9527,0.1506,20305,458227,1867,29635,3831,395,2287,27607,13855,371850,1350,20144,3131,310,1776,18208,139041, 98080,116166,138480,166304,88280,138069,111308,118009,137918,171541,134166,165549,148733,163424,137804,174230,135392,176420,131544,139896,109037,118009,137918,170233,137528,2,0,126170,152875,0.4521,0.4523,0.2,0.2,0,0.2546
4209,2,540071,419499,0.0037658235,0.9527,0.2639,24894,443091,3210,34957,4246,444,2087,27142,16053,355703,2431,22573,3535,332,1550,17322,140196, 79626,119946,117450,166460,70688,139401, 93550,117952,115954,172058,110617,167620,123726,165120,113054,174088,111630,176515,108071,141500, 90330,117952,115954,171080,113419,2,0,104436,153935,0.4042,0.4045,0.0,0.2,0,0.2546
4210,1,540539,423014,0.0029025341,0.9695,0.3579,24150,450342,2408,32599,3721,379,1944,24996,15584,363483,1786,21074,3085,270,1475,16257,142913, 83142,122599,121567,167388,76300,141381, 98012,119990,120701,175216,114832,169962,128875,167279,118245,177403,116069,179284,112842,143570, 94757,119990,120701,173828,118172,1,0,109058,156341,0.4109,0.4113,0.1,0.3,0,0.2082
4210,2,543686,427109,0.0029025341,0.9695,0.2654,21049,450976,2669,31993,4356,460,2430,29753,14324,364070,1995,21643,3581,372,1851,19273,136325, 94563,113513,134363,165376,82667,136089,106846,115971,133172,168383,129951,163208,143584,161265,132612,170916,130953,173652,126773,137826,104610,115971,133172,167485,132775,1,0,121549,150469,0.4468,0.4470,0.2,0.3,0,0.2082
