draw,district,total_pop,total_vap,plan_dev,comp_edge,comp_polsby,pop_hisp,pop_white,pop_black,pop_aian,pop_asian,pop_nhpi,pop_other,pop_two,vap_hisp,vap_white,vap_black,vap_aian,vap_asian,vap_nhpi,vap_other,vap_two,pre_16_rep_tru,pre_16_dem_cli,uss_16_rep_cra,uss_16_dem_stu,gov_18_rep_lit,gov_18_dem_jor,atg_18_rep_was,atg_18_dem_bis,sos_18_rep_den,sos_18_dem_hum,pre_20_rep_tru,pre_20_dem_bid,uss_20_rep_ris,uss_20_dem_jor,arv_16,adv_16,arv_18,adv_18,arv_20,adv_20,county_splits,muni_splits,ndv,nrv,ndshare,e_dvs,pr_dem,e_dem,pbias,egap
2841,2,917219,662134,0.002538190,0.9880,0.3265,170847,684236, 5818, 9774, 8874,1781,3414,32475,106573,512960,4173, 7121, 7312,1244,2338,20413,199251, 68184,220726, 70221,169031, 84213,179818, 73742,174237, 80963,267763,102111,256653,103952,209988, 69202,174363, 79640,262209,103032,1,1, 83341,209640,0.2845,0.2859,0,0,0,0.1884
2842,1,921315,665187,0.001916148,0.9884,0.3230,171151,687841, 5794, 9794, 8897,1782,3438,32618,106834,515619,4147, 7133, 7334,1241,2354,20525,200439, 68400,221909, 70489,170298, 84692,181162, 74124,175550, 81364,269528,102703,258349,104571,211174, 69444,175671, 80060,263939,103638,1,1, 83763,211034,0.2841,0.2855,0,0,0,0.1884
2842,2,917791,711213,0.001916148,0.9884,0.2437, 68256,762682, 8991, 9109,17139,1619,4805,45190, 44866,605847,5799, 6802,13674,1201,3573,29451,208615,121366,227107,117760,191362,146390,203628,129159,195103,140672,284590,184317,280096,181292,217861,119564,196699,138740,282343,182805,1,1,145851,227214,0.3910,0.3908,0,0,0,0.1884
2843,1,922799,668382,0.003529976,0.9860,0.3303,171443,688041, 6238, 9969, 9258,1839,3439,32572,107409,517439,4477, 7321, 7620,1294,2353,20469,199391, 68934,220993, 70957,169306, 85166,180188, 74570,174575, 81815,267550,103356,256475,105085,210192, 69946,174691, 80517,262013,104221,1,0, 84269,209783,0.2866,0.2880,0,0,0,0.1884
2843,2,916307,708018,0.003529976,0.9860,0.2438, 67964,762482, 8547, 8934,16778,1562,4804,45236, 44291,604027,5469, 6614,13388,1148,3574,29507,209663,120832,228023,117291,192354,145916,204602,128713,196079,140221,286568,183664,281970,180778,218843,119062,197679,138283,284269,182221,1,0,145345,228465,0.3888,0.3887,0,0,0,0.1884
2844,1,921587,714195,0.002211944,0.9809,0.1915, 65675,769176, 9061, 9081,17112,1616,4788,45078, 43256,610532,5839, 6785,13655,1196,3574,29358,210942,121942,229387,118283,193420,147392,205821,129984,197229,141550,287552,185614,282904,182593,220165,120113,198825,139642,285228,184104,1,0,146766,229607,0.3899,0.3898,0,0,0,0.1884
2844,2,917519,662205,0.002211944,0.9809,0.2737,173732,681347, 5724, 9822, 8924,1785,3455,32730,108444,510934,4107, 7150, 7353,1246,2353,20618,198112, 67824,219629, 69965,168240, 83690,178969, 73298,173425, 80486,266566,101406,255541,103270,208870, 68894,173546, 79158,261054,102338,1,0, 82848,208641,0.2842,0.2857,0,0,0,0.1884
2845,1,919420,693206,0.000144635,0.9765,0.1674,114190,724892, 7249, 9656,12927,1732,4550,44224, 72008,565567,4886, 7184,10554,1246,3315,28446,215018, 88610,229779, 86834,187740,107915,198139, 94359,192628,102486,288459,134274,280264,133707,222399, 87723,192838,101586,284361,133990,1,3,106884,227431,0.3197,0.3202,0,0,0,0.1884
2845,2,919686,683194,0.000144635,0.9765,0.3339,125217,725631, 7536, 9247,13109,1669,3693,33584, 79692,555899,5060, 6751,10454,1196,2612,21530,194036,101156,219237,101414,173920,123167,186651,108924,178025,119550,265659,152746,258181,152156,206636,101285,179533,117214,261921,152452,1,3,122731,210816,0.3680,0.3685,0,0,0,0.1884
2846,1,918906,709975,0.000703603,0.9872,0.2511, 68154,764574, 8595, 8943,16869,1574,4813,45384, 44410,605647,5499, 6623,13468,1160,3580,29588,210302,121228,228716,117667,192930,146375,205231,129090,196663,140654,287382,184269,282756,181388,219509,119448,198276,138706,285069,182829,1,0,145810,229139,0.3889,0.3888,0,0,0,0.1884
2846,2,920200,666425,0.000703603,0.9872,0.3402,171253,685949, 6190, 9960, 9167,1827,3430,32424,107290,515819,4447, 7312, 7540,1282,2347,20388,198752, 68538,220300, 70581,168730, 84707,179558, 74192,173991, 81382,266736,102751,255689,104475,209526, 69560,174094, 80094,261213,103614,1,0, 83804,209108,0.2861,0.2875,0,0,0,0.1884
2847,1,916619,662542,0.003190681,0.9860,0.2949,171090,683582, 5713, 9776, 8833,1771,3437,32417,106861,513140,4100, 7122, 7271,1240,2356,20452,200160, 68143,221630, 70234,169960, 84006,180728, 73630,175189, 80793,268532,101725,257413,103506,210895, 69188,175293, 79476,262973,102616,1,2, 83148,210516,0.2831,0.2846,0,0,0,0.1884
2847,2,922487,713858,0.003190681,0.9860,0.2269, 68317,766941, 9072, 9127,17203,1630,4806,45391, 44839,608326,5846, 6813,13737,1202,3571,29524,208894,121623,227386,118014,191700,147076,204062,129653,195464,141243,285586,185295,281031,182357,218140,119819,197077,139324,283309,183826,1,2,146466,227731,0.3914,0.3913,0,0,0,0.1884
2848,1,919191,712145,0.000393670,0.9856,0.2437, 68542,764028, 8914, 9137,17007,1575,4784,45204, 45026,606766,5736, 6834,13574,1161,3548,29500,209473,121117,227699,117579,191906,146218,204206,129000,195701,140477,285712,183804,281003,180965,218586,119349,197272,138565,283358,182385,1,1,145595,227956,0.3898,0.3897,0,0,0,0.1884
