"","draw","district","total_pop","arv_20","adv_20","arv_16","adv_16","nrv","ndv","prop_dem_2020","prop_dem_2016","prop_dem_all","dist_2020_order","dist_2016_order","dist_all_order","dem_win_all"
"12516","2876",4,704080,63762,323164,61054,253907,62774,282436,0.83520879961543,0.806153777769311,0.818157063816228,6,6,6,1
"12517","2877",3,706612,227656,132745,179458,110202,198845,117435,0.368325837053726,0.380452944831872,0.371300746174276,1,1,1,0
"12518","2877",4,707542,171273,174396,140708,134789,152914,149787,0.504517327269729,0.489257596271466,0.494834837017387,2,2,2,0
"12519","2877",6,708976,165766,204896,139404,154879,150703,173728,0.552783937927276,0.526292718233809,0.535485203325206,4,3,3,1
"12520","2877",2,704611,177359,213564,145376,164741,158783,183170,0.546307073259951,0.531222087147754,0.535658409196585,3,4,4,1
"12521","2877",1,705318,142507,212211,120755,159607,129989,179778,0.598252696508212,0.569288990662073,0.580365242262733,5,5,5,1
"12522","2877",5,704197,62839,330283,61923,259334,62984,288515,0.840153947120741,0.807247779814915,0.820813145983346,6,6,6,1
"12523","2878",2,703163,210799,150585,169772,119223,186464,130346,0.416689726163859,0.412543469610201,0.41143271992677,1,1,1,0
"12524","2878",3,706587,190278,190116,152793,152596,167996,166133,0.499787062887427,0.499677460550315,0.497212154587001,2,2,2,0
"12525","2878",1,707401,164734,179732,137271,138740,148230,154413,0.521769927946445,0.502661125824695,0.510215005798912,3,3,3,1
"12526","2878",4,706476,131003,226364,115696,168573,122341,190851,0.63342166456332,0.593005216889636,0.609373802651409,4,4,4,1
"12527","2878",6,708392,119692,240546,96718,186730,106652,208104,0.66774188175595,0.658780446501651,0.661159755493144,5,6,5,1
"12528","2878",5,705237,130895,280752,115374,217690,122535,242565,0.682021246359138,0.653598107270675,0.664379622021364,6,5,6,1
"12529","2879",1,706697,220040,166063,175937,130707,194022,143298,0.430100258221252,0.426249983694447,0.424813233724653,1,1,1,0
"12530","2879",3,706396,185832,180507,149539,144497,164341,157559,0.492732141541032,0.491426219918649,0.489465672569121,2,3,2,0
"12531","2879",2,707542,171273,174396,140708,134789,152914,149787,0.504517327269729,0.489257596271466,0.494834837017387,3,2,3,0
"12532","2879",6,704473,131800,219424,116595,162528,123152,184533,0.624740906088422,0.582280929912619,0.599746493979232,4,4,4,1
"12533","2879",5,704871,143580,261052,124833,202312,133266,225317,0.64515905810712,0.618416909932904,0.628353826031909,5,5,5,1
"12534","2879",4,707277,94874,266653,80012,208719,86522,231918,0.737574233736346,0.722883930024833,0.72829418414772,6,6,6,1
"12535","288",5,707829,219011,166649,174369,128560,192831,142395,0.4321137789763,0.424389873534723,0.424773138121745,1,1,1,0
"12536","288",4,708281,183075,166342,149959,126211,163298,141275,0.476055830139919,0.457004743455118,0.463846105859679,2,2,2,0
"12537","288",1,704643,173170,185473,141912,144273,155110,159462,0.517152154091952,0.504124954138058,0.506917335300027,3,3,3,1
"12538","288",6,703802,167253,209982,138741,169474,150282,184432,0.556634458626586,0.549856431387181,0.551013701249425,4,4,4,1
"12539","288",3,704539,143099,211900,121848,157755,130869,178563,0.596903089867859,0.564210684434716,0.577067013107888,5,5,5,1
"12540","288",2,708162,61790,327749,60796,257278,61825,286287,0.841376601572628,0.808862088696341,0.822399112929172,6,6,6,1
"12541","2880",5,704952,210193,155953,167212,120665,185020,133424,0.425931185920371,0.419154708434505,0.418987325872053,1,1,1,0
"12542","2880",6,704276,194052,190043,157026,153980,171935,166883,0.494781239016389,0.495102988366784,0.492544669999823,2,3,2,0
"12543","2880",1,707542,171273,174396,140708,134789,152914,149787,0.504517327269729,0.489257596271466,0.494834837017387,3,2,3,0
"12544","2880",2,704168,153859,202358,127171,154308,138588,172429,0.568075077831771,0.548204306537965,0.554403778571589,4,4,4,1
"12545","2880",3,706829,150011,216273,128814,163123,137835,183430,0.590451671380677,0.558760965550787,0.57096166715951,5,5,5,1
"12546","2880",4,709489,68011,329072,66693,256688,67925,286458,0.828723465874893,0.79376339364403,0.808328841959123,6,6,6,1
"12547","2881",1,707626,214101,150408,171824,119436,189014,130366,0.41263178686946,0.410066607155119,0.408184607677375,1,1,1,0
"12548","2881",3,705242,170685,169623,140626,130896,152618,145537,0.498439648788744,0.482082483187366,0.488125303952642,2,2,2,0
"12549","2881",4,705467,191771,196162,153652,155769,169348,170492,0.5056594824364,0.503420905497688,0.501683145009416,3,3,3,1
"12550","2881",2,709091,166882,209263,140245,159785,151709,178373,0.556335987451648,0.532563410325634,0.540389963705988,4,4,4,1
"12551","2881",5,706767,143679,212453,121712,158106,130998,179000,0.596556894634574,0.565031556225832,0.577423080148904,5,5,5,1
"12552","2881",6,703063,60282,330185,59566,259561,60530,288645,0.845615634611888,0.81334703738637,0.826648528674733,6,6,6,1
"12553","2882",3,707175,210964,157161,167880,121625,185723,134460,0.426922920203735,0.420113642251429,0.419947342613443,1,1,1,0
"12554","2882",2,704028,194036,189120,156940,153296,171889,166120,0.493584858386662,0.494127051663895,0.491466203562627,2,3,2,0
