draw,district,total_pop,total_vap,plan_dev,comp_edge,comp_polsby,pop_hisp,pop_white,pop_black,pop_aian,pop_asian,pop_nhpi,pop_other,pop_two,vap_hisp,vap_white,vap_black,vap_aian,vap_asian,vap_nhpi,vap_other,vap_two,pre_16_dem_cli,pre_16_rep_tru,uss_16_dem_sch,uss_16_rep_car,uss_18_dem_hir,uss_18_rep_cur,gov_18_dem_ige,gov_18_rep_tup,pre_20_dem_bid,pre_20_rep_tru,arv_16,adv_16,arv_18,adv_18,arv_20,adv_20,county_splits,muni_splits,ndv,nrv,ndshare,e_dvs,pr_dem,e_dem,pbias,egap
4648,1,728009,573686,0.0005133065,0.9545,0.33324,73012,135983,14794, 823,280880,69095,2463,150959,48974,117143,12114, 723,241041,49583,1942,102166,121784,66869,142534,48273,124097,59473,110401,68660,167339,101214,57568,132157,64060,117247,101214,167339,1,1,133232,68897,0.6591,0.6616,1,2,0,-0.1179
4648,2,727262,582219,0.0005133065,0.9545,0.07058,65911,178382, 7083,1498,250678,79959,2820,140931,44133,158481, 5945,1277,217227,55635,2282, 97239,145112,61977,164075,44374,152219,52559,134532,63067,198790, 95650,53165,154590,57805,143374, 95650,198790,1,1,158945,63527,0.7144,0.7174,1,2,0,-0.1179
4649,1,729967,574875,0.0032042142,0.9545,0.35968,73254,135068,14680, 819,281778,69588,2452,152328,49079,116168,12001, 713,241864,49965,1933,103152,124911,68360,146065,49344,127504,61022,113463,70394,171882,103646,58848,135486,65701,120482,103646,171882,1,1,136765,70552,0.6597,0.6622,1,2,0,-0.1179
4649,2,725304,581030,0.0032042142,0.9545,0.07129,65669,179297, 7197,1502,249780,79466,2831,139562,44028,159456, 6058,1287,216404,55253,2291, 96253,141985,60486,160544,43303,148811,51010,131470,61333,194247, 93218,51885,151261,56163,140140, 93218,194247,1,1,155412,61872,0.7152,0.7182,1,2,0,-0.1179
4650,1,725542,562855,0.0028771274,0.9688,0.37403,74196,120588,16170, 813,288518,74979,2188,148090,48972,101131,12942, 707,244852,52703,1716, 99832,110128,62693,131157,43612,113328,55230, 99994,64661,150450, 99058,53148,120641,59936,106659, 99058,150450,1,1,121012,65050,0.6504,0.6541,1,2,0,-0.1179
4650,2,729729,593050,0.0028771274,0.9688,0.07175,64727,193777, 5707,1508,243040,74075,3095,143800,44135,174493, 5117,1293,213416,52515,2508, 99573,156767,66153,175451,49035,162988,56801,144940,67066,215678, 97806,57584,166106,61928,153962, 97806,215678,1,1,171165,67374,0.7176,0.7196,1,2,0,-0.1179
4651,1,726435,570854,0.0016498645,0.9537,0.35707,73192,128889,13704, 779,279688,70258,2338,157587,48735,111016,11218, 671,240161,50499,1859,106695,127283,69343,149589,49750,130330,61813,116017,71454,173891,103975,59543,138435,66627,123172,103975,173891,1,1,139422,71268,0.6617,0.6641,1,2,0,-0.1179
4651,2,728836,585051,0.0016498645,0.9537,0.07115,65731,185476, 8173,1542,251870,78796,2945,134303,44372,164608, 6841,1329,218107,54719,2365, 92710,139613,59503,157020,42897,145986,50218,128917,60273,192237, 92889,51190,148313,55237,137450, 92889,192237,1,1,152755,61156,0.7141,0.7173,1,2,0,-0.1179
4652,1,727554,574757,0.0001120066,0.9497,0.27852,72205,137228,14349, 842,282585,67956,2547,149842,48559,118487,11781, 737,243157,48826,2014,101196,126568,67895,147329,49221,128562,60476,114563,69669,173351,102454,58555,136947,65066,121561,102454,173351,1,1,138075,69943,0.6638,0.6662,1,2,0,-0.1179
4652,2,727717,581148,0.0001120066,0.9497,0.06876,66718,177137, 7528,1479,248973,81098,2736,142048,44548,157137, 6278,1263,215111,56392,2210, 98209,140328,60951,159280,43426,147753,51556,130371,62057,192777, 94410,52177,149800,56798,139061, 94410,192777,1,1,154102,62481,0.7115,0.7146,1,2,0,-0.1179
4653,1,728547,580473,0.0012526876,0.9377,0.13232,64688,121018,15019, 812,321363,73916,2266,129465,44188,105121,12274, 719,275769,52076,1790, 88536,119749,59943,137230,43201,119622,52422,106277,61112,163402, 94209,51570,128488,56760,112948, 94209,163402,1,0,129257,62178,0.6752,0.6783,1,2,0,-0.1179
4653,2,726724,575432,0.0012526876,0.9377,0.06415,74235,193347, 6858,1509,210195,75138,3017,162425,48919,170503, 5785,1281,182499,53142,2434,110869,147147,68903,169378,49446,156694,59609,138657,70615,202726,102655,59163,158260,65105,147674,102655,202726,1,0,162920,70246,0.6987,0.7012,1,2,0,-0.1179
