draw,district,total_pop,total_vap,plan_dev,comp_edge,comp_polsby,pop_hisp,pop_white,pop_black,pop_aian,pop_asian,pop_nhpi,pop_other,pop_two,vap_hisp,vap_white,vap_black,vap_aian,vap_asian,vap_nhpi,vap_other,vap_two,pre_16_dem_cli,pre_16_rep_tru,uss_18_dem_whi,uss_18_rep_fla,gov_18_dem_rai,gov_18_rep_fun,atg_18_dem_ner,sos_18_dem_gor,sos_18_rep_cor,pre_20_dem_bid,pre_20_rep_tru,uss_20_dem_ree,uss_20_rep_wat,arv_16,adv_16,arv_18,adv_18,arv_20,adv_20,county_splits,muni_splits,ndv,nrv,ndshare,e_dvs,pr_dem,e_dem,pbias,egap
1456,2,549087,448249,0.0007244534,0.9212,0.2086, 81178,387983,25877,2178,21051,190,5267,25363, 56988,331188,20145,1705,17360,155,3974,16734,139009, 85582,127975,70977,112347,67873,148024,135015,58733,169937, 94144,178405, 79081, 85582,139009,65861,130840, 86612,174171,2,3,144388, 76065,0.6550,0.6531,1.0000,2.000,0,-0.25606
1457,1,548329,435369,0.0006570200,0.9584,0.4571,148402,293378,43138,1631,25089,172,7840,28679,103235,252781,32152,1226,20828,133,5779,19235,117430, 69605,101824,53187, 86324,54918,117452,107173,44061,133545, 78302,141714, 61150, 69605,117430,50722,103193, 69727,137630,2,3,115066, 60203,0.6565,0.6556,1.0000,2.000,0,-0.25606
1457,2,549050,452225,0.0006570200,0.9584,0.2879, 33699,460672,12248,1882,13278,148,3552,23571, 22753,389654, 9772,1473,10584,122,2674,15193,135095,110937,129653,91233,111798,85015,156899,140103,75232,173941,121620,186860,103705,110937,135095,83827,134613,112663,180400,2,3,147764, 97958,0.6013,0.5977,1.0000,2.000,0,-0.25606
1458,1,548767,439488,0.0001412456,0.9359,0.4635,124096,336015,34645,1548,26117,143,4395,21808, 86113,286794,26198,1200,21576,112,3226,14269,117558, 86858,105817,68002, 87646,70286,126402,112987,56674,137031, 97664,148305, 78780, 86858,117558,64988,108212, 88223,142668,2,2,119392, 76378,0.6099,0.6070,1.0000,2.000,0,-0.25606
1458,2,548612,448106,0.0001412456,0.9359,0.2635, 58005,418035,20741,1965,12250,177,6997,30442, 39875,355641,15726,1499, 9836,143,5227,20159,134967, 93684,125661,76419,110476,69647,147949,134289,62619,170454,102258,180269, 86074, 93684,134967,69561,129594, 94167,175361,2,2,143438, 81783,0.6369,0.6349,1.0000,2.000,0,-0.25606
1459,1,548715,442146,0.0000464744,0.9377,0.2396,104471,344377,38129,1604,19057,186,8559,32332, 72454,295602,28676,1222,15927,145,6431,21689,129377, 70310,114650,54648,102661,49995,129313,120213,44917,153665, 77544,159846, 62698, 70310,129377,49854,116709, 70122,156756,1,1,129961, 60018,0.6841,0.6847,1.0000,2.000,0,-0.25606
1459,2,548664,445448,0.0000464744,0.9377,0.3019, 77630,409673,17257,1909,19310,134,2833,19918, 53534,346833,13248,1477,15485,110,2022,12739,123148,110232,116827,89773, 95461,89938,145037,127063,74376,153821,122378,168727,102157,110232,123148,84695,121097,112267,161273,1,1,132869, 98143,0.5752,0.5698,1.0000,2.000,0,-0.25606
1460,1,547782,434610,0.0016539409,0.9584,0.4082,145153,294659,43635,1672,22833,168,8762,30900,100918,252984,32618,1284,19204,131,6518,20953,119588, 63778,103809,48594, 90051,47398,116035,108708,39994,136294, 73128,142531, 58074, 63778,119588,45329,104650, 65602,139413,1,2,116716, 55161,0.6791,0.6801,1.0000,2.000,0,-0.25606
1460,2,549597,452984,0.0016539409,0.9584,0.3703, 36948,459391,11751,1841,15534,152,2630,21350, 25070,389451, 9306,1415,12208,124,1935,13475,132937,116764,127668,95826,108071,92535,158316,138568,79298,171192,126794,186043,106781,116764,132937,89219,133156,116788,178616,1,2,146114,103000,0.5865,0.5814,1.0000,2.000,0,-0.25606
1461,1,546230,436526,0.0044824988,0.9472,0.4090,128806,313030,41259,1569,21657,171,8632,31106, 89398,268990,30894,1206,18383,133,6440,21082,118517, 70129,104189,53201, 89853,51966,118561,109844,43760,137325, 79389,144966, 62952, 70129,118517,49643,105612, 71171,141146,1,3,117608, 60232,0.6613,0.6616,1.0000,2.000,0,-0.25606
1461,2,551149,451068,0.0044824988,0.9472,0.3523, 53295,441020,14127,1944,16710,149,2760,21144, 36590,373445,11030,1493,13029,122,2013,13346,134008,110413,127288,91219,108269,87967,155789,137432,75533,170161,120533,183608,101903,110413,134008,84906,132194,111219,176883,1,3,145222, 97929,0.5973,0.5927,1.0000,2.000,0,-0.25606
1462,1,550458,437262,0.0032231344,0.9610,0.4246,148836,291538,44626,1689,23901,168,8801,30899,103444,251466,33357,1298,20053,130,6542,20972,120480, 63599,104286,47821, 90596,46980,116781,109098,39295,136700, 72287,143555, 56376, 63599,120480,44699,105190, 64332,140128,1,2,117356, 54392,0.6833,0.6843,1.0000,2.000,0,-0.25606
1462,2,546921,450332,0.0032231344,0.9610,0.3169, 33265,462512,10760,1824,14466,152,2591,21351, 22544,390969, 8567,1401,11359,125,1911,13456,132045,116943,127191,96599,107526,92953,157569,138178,79998,170786,127635,185019,108479,116943,132045,89849,132616,118057,177902,1,2,145474,103768,0.5837,0.5785,1.0000,2.000,0,-0.25606
