draw,district,total_pop,total_vap,plan_dev,comp_edge,comp_polsby,pop_white,pop_black,pop_hisp,pop_aian,pop_asian,pop_nhpi,pop_other,pop_two,vap_white,vap_black,vap_hisp,vap_aian,vap_asian,vap_nhpi,vap_other,vap_two,pre_20_rep_tru,pre_20_dem_bid,adv_20,arv_20,county_splits,ndv,nrv,ndshare,e_dvs,pr_dem,e_dem,pbias,egap
48,1,901111,718745,0.00474211,0.872,0.32473,811351,34629,11327,1584, 6451,176,2103,33490,653820,27529, 7793,1407,5274,142,1293,21487,275434,112143,112143,275434,0,112143,275434,0.2893,0.2893,0,0,0,0.104
48,2,892605,714187,0.00474211,0.872,0.14826,787483,30120,23500,1603, 8452,253,2549,38645,639220,24473,15690,1354,6959,191,1688,24612,269948,123841,123841,269948,0,123841,269948,0.3145,0.3145,0,0,0,0.104
49,1,899527,720337,0.00297594,0.888,0.19038,795787,29300,23515,1552, 8471,279,2478,38145,646206,23922,15703,1323,6986,215,1649,24333,274840,122513,122513,274840,0,122513,274840,0.3083,0.3083,0,0,0,0.104
49,2,894189,712595,0.00297594,0.888,0.37132,803047,35449,11312,1635, 6432,150,2174,33990,646834,28080, 7780,1438,5247,118,1332,21766,270542,113471,113471,270542,0,113471,270542,0.2955,0.2955,0,0,0,0.104
50,1,892734,713226,0.00459828,0.848,0.14589,788893,28301,23418,1545, 8737,273,2514,39053,639610,22848,15579,1323,7174,214,1694,24784,270507,123302,123302,270507,0,123302,270507,0.3131,0.3131,0,0,0,0.104
50,2,900982,719706,0.00459828,0.848,0.36579,809941,36448,11409,1642, 6166,156,2138,33082,653430,29154, 7904,1438,5059,119,1287,21315,274875,112682,112682,274875,0,112682,274875,0.2907,0.2907,0,0,0,0.104
51,1,900648,718096,0.00422586,0.848,0.34806,808077,36400,11650,1610, 6466,159,2192,34094,651053,29034, 8029,1414,5282,126,1341,21817,273391,113895,113895,273391,0,113895,273391,0.2941,0.2941,0,0,0,0.104
51,2,893068,714836,0.00422586,0.848,0.17214,790757,28349,23177,1577, 8437,270,2460,38041,641987,22968,15454,1347,6951,207,1640,24282,271991,122089,122089,271991,0,122089,271991,0.3098,0.3098,0,0,0,0.104
52,1,895715,715969,0.00127445,0.864,0.15886,791232,29034,23570,1536, 8728,286,2460,38869,641530,23648,15731,1324,7178,227,1648,24683,272100,122551,122551,272100,0,122551,272100,0.3105,0.3105,0,0,0,0.104
52,2,898001,716963,0.00127445,0.864,0.38168,807602,35715,11257,1651, 6175,143,2192,33266,651510,28354, 7752,1437,5055,106,1333,21416,273282,113433,113433,273282,0,113433,273282,0.2933,0.2933,0,0,0,0.104
53,1,901138,719042,0.00477222,0.872,0.34884,810858,35546,11324,1647, 6189,154,2142,33278,653657,28230, 7810,1439,5081,117,1300,21408,274366,113318,113318,274366,0,113318,274366,0.2923,0.2923,0,0,0,0.104
53,2,892578,713890,0.00477222,0.872,0.15794,787976,29203,23503,1540, 8714,275,2510,38857,639383,23772,15673,1322,7152,216,1681,24691,271016,122666,122666,271016,0,122666,271016,0.3116,0.3116,0,0,0,0.104
54,1,892571,711279,0.00478002,0.896,0.37454,801578,35426,11320,1624, 6394,152,2182,33895,645680,28064, 7765,1428,5219,119,1337,21667,271502,113030,113030,271502,0,113030,271502,0.2939,0.2939,0,0,0,0.104
54,2,901145,721653,0.00478002,0.896,0.19418,797256,29323,23507,1563, 8509,277,2470,38240,647360,23938,15718,1333,7014,214,1644,24432,273880,122954,122954,273880,0,122954,273880,0.3098,0.3098,0,0,0,0.104
55,1,898737,719378,0.00209509,0.848,0.16446,795999,28465,23308,1555, 8446,281,2493,38190,646282,23077,15504,1323,6954,219,1665,24354,275340,122511,122511,275340,0,122511,275340,0.3079,0.3079,0,0,0,0.104
55,2,894979,713554,0.00209509,0.848,0.34310,802835,36284,11519,1632, 6457,148,2159,33945,646758,28925, 7979,1438,5279,114,1316,21745,270042,113473,113473,270042,0,113473,270042,0.2959,0.2959,0,0,0,0.104
56,1,893324,715062,0.00394042,0.872,0.19318,790847,28352,23280,1550, 8484,273,2455,38083,642080,22990,15491,1328,6983,210,1645,24335,272297,121469,121469,272297,0,121469,272297,0.3085,0.3085,0,0,0,0.104
56,2,900392,717870,0.00394042,0.872,0.34587,807987,36397,11547,1637, 6419,156,2197,34052,650960,29012, 7992,1433,5250,123,1336,21764,273085,114515,114515,273085,0,114515,273085,0.2954,0.2954,0,0,0,0.104
57,1,901220,719827,0.00486365,0.848,0.29199,810361,35962,11412,1626, 6205,145,2223,33286,653994,28577, 7893,1412,5087,108,1363,21393,275286,114317,114317,275286,0,114317,275286,0.2934,0.2934,0,0,0,0.104
57,2,892496,713105,0.00486365,0.848,0.15872,788473,28787,23415,1561, 8698,284,2429,38849,639046,23425,15590,1349,7146,225,1618,24706,270096,121667,121667,270096,0,121667,270096,0.3106,0.3106,0,0,0,0.104
58,1,897914,716396,0.00117744,0.864,0.34177,807739,35564,11315,1626, 6197,159,2154,33160,651086,28255, 7813,1421,5086,124,1308,21303,273571,112833,112833,273571,0,112833,273571,0.2920,0.2920,0,0,0,0.104
58,2,895802,716536,0.00117744,0.864,0.16445,791095,29185,23512,1561, 8706,270,2498,38975,641954,23747,15670,1340,7147,209,1673,24796,271811,123151,123151,271811,0,123151,271811,0.3118,0.3118,0,0,0,0.104
59,1,899527,720337,0.00297594,0.888,0.19038,795787,29300,23515,1552, 8471,279,2478,38145,646206,23922,15703,1323,6986,215,1649,24333,274840,122513,122513,274840,0,122513,274840,0.3083,0.3083,0,0,0,0.104
